Latitude	Longitude	Vn	Ve	Sn	Se	Corr	Sta	Vu	Su
 38.657351	-121.714549	  7.60	-11.03	  0.08	  0.09	 -0.0188	P271	 -0.16	  2.46
 39.145482	-121.943062	  6.48	 -8.46	  0.11	  0.15	 -0.0281	P272	 -1.09	  0.31
 38.115813	-121.388077	  8.86	-10.07	  0.23	  0.62	  0.0093	P273	 -0.27	  0.52
 38.283124	-121.460512	  8.27	-11.35	  0.81	  0.85	  0.0026	P274	 -1.61	  0.48
 38.321529	-121.214586	  7.89	-10.52	  0.12	  0.11	 -0.0089	P275	 -1.11	  0.38
 38.645308	-121.095165	  7.91	-10.06	  0.10	  0.10	 -0.0027	P276	  1.21	  0.20
 37.192373	-122.366883	 36.32	-26.85	  0.07	  0.12	 -0.0083	P277	  0.15	  0.27
 37.054384	-120.705295	  9.49	-10.27	  0.14	  0.13	  0.0012	P303	-18.03	  0.37
 37.352214	-120.196758	  9.25	-10.07	  0.43	  0.13	  0.0042	P305	  1.79	  0.20
 37.795167	-120.644458	  8.73	-10.68	  0.16	  0.35	  0.0128	P306	  1.62	  0.25
 38.089991	-120.951237	  8.57	-10.12	  0.11	  0.12	 -0.0097	P309	  0.83	  0.25
 39.529179	-123.698374	 24.86	-21.44	  0.10	  0.19	 -0.0965	P312	 -2.51	  0.41
 39.554289	-123.564544	 22.06	-20.75	  0.08	  0.19	 -0.0386	P313	 -1.25	  0.30
 39.685664	-123.581848	 20.20	-21.22	  0.11	  0.12	 -0.0252	P314	 -0.84	  0.18
 39.863583	-123.716896	 20.80	-20.44	  0.08	  0.16	 -0.0819	P315	 -1.21	  0.59
 39.905671	-123.551850	 15.09	-16.51	  0.16	  0.12	 -0.0151	P317	 -1.22	  0.57
 39.452370	-123.371853	 15.47	-17.16	  0.10	  0.18	 -0.0230	P318	 -0.45	  0.37
 39.707097	-123.295078	  9.00	-15.84	  0.20	  0.10	 -0.0486	P319	  4.04	  0.31
 39.492827	-123.186785	 15.17	-16.24	  0.16	  0.20	  0.0321	P320	 -0.03	  0.59
 39.897221	-123.394947	 15.94	-14.37	  0.30	  0.39	  0.0605	P321	 -2.25	  0.73
 39.962144	-123.182481	  5.25	 -8.75	  0.30	  0.39	 -0.0337	P322	 22.07	  0.72
 39.845748	-122.963442	 15.46	  8.16	  1.95	  1.91	 -0.0323	P323	 55.07	  6.87
 39.621382	-122.975753	  9.25	-10.86	  0.21	  0.18	  0.0274	P333	 -0.89	  0.72
 39.493592	-122.735871	  8.09	 -9.79	  0.12	  0.13	 -0.0106	P334	  0.77	  0.34
 39.726190	-122.873637	  8.79	-10.09	  0.33	  0.41	  0.0445	P335	  0.26	  0.89
 39.528080	-122.430483	  6.99	 -8.21	  0.09	  0.21	 -0.0141	P336	  1.65	  0.45
 40.034111	-122.668249	  7.12	 -8.29	  0.17	  0.13	 -0.0120	P339	  0.98	  0.34
 39.409339	-123.049823	  4.22	-10.21	  0.32	  0.39	 -0.0737	P340	 -0.34	  0.84
 39.929123	-122.027971	  6.90	 -8.52	  0.19	  0.20	 -0.0166	P344	  0.52	  0.45
 40.271235	-122.270806	  7.13	 -7.94	  0.16	  0.22	 -0.0449	P345	  0.68	  0.56
 37.061232	-122.237610	 35.79	-27.04	  0.07	  0.13	  0.0183	P534	  0.46	  0.26
 37.853054	-122.418946	 23.63	-21.42	  0.19	  0.17	 -0.0062	PBL1	 -1.59	  0.31
 38.202625	-121.935386	  9.44	-10.30	  0.20	  0.09	 -0.0270	POTB	 -0.17	  0.42
 37.187085	-122.389951	 36.54	-27.74	  0.15	  0.13	 -0.0136	PPT1	 -0.72	  0.26
 37.996175	-123.018718	 37.00	-25.45	  0.03	  0.05	  0.0432	PTRB	 -0.64	  0.09
 37.816418	-122.062945	 13.05	 -8.93	  6.20	  5.77	  0.0025	ROCP	-14.80	 23.10
 37.666508	-121.558268	  9.59	-10.53	  0.04	  0.10	  0.0060	S300	  0.26	  0.27
 36.765304	-121.447184	 35.40	-28.10	  0.20	  0.09	 -0.0845	SAOB	  0.68	  0.12
 37.686450	-122.410844	 35.36	-31.25	  1.41	  1.42	 -0.1411	SBRB	  1.34	  4.64
 37.686219	-122.410441	 28.02	-20.62	  0.18	  0.13	 -0.1303	SBRN	  1.51	  0.36
 37.651845	-122.002064	 15.78	 -9.69	  6.20	  5.77	  0.0074	SCCP	 19.17	 23.10
 37.416517	-122.204263	 28.47	-21.77	  0.06	  0.10	 -0.0046	SLAC	  0.26	  0.44
 37.166404	-121.925519	 26.48	-21.79	  0.13	  0.10	  0.0267	SODB	 -1.33	  0.30
 37.874358	-122.266962	 24.04	-17.66	  0.42	  0.14	  0.0203	SRB1	 -0.69	  0.28
 37.426905	-122.173288	 27.75	-19.46	  0.50	  0.59	  0.0131	SUAA	 -1.11	  1.43
 39.205836	-121.820599	  7.57	 -9.72	  0.09	  0.09	  0.0199	SUTB	  0.00	  0.14
 38.033179	-122.526319	 24.87	-19.13	  0.05	  0.06	  0.0023	SVIN	 -1.32	  0.41
 37.351486	-121.935488	 24.66	-18.83	  0.12	  0.79	 -0.0152	THAL	  1.26	  4.08
 37.890875	-122.447602	 25.58	-19.36	  0.08	  0.09	 -0.0344	TIBB	 -0.14	  0.10
 38.536240	-121.751231	  8.80	 -9.78	  0.07	  0.40	 -0.0148	UCD1	 -8.96	  1.97
 37.762968	-122.458150	 27.56	-18.49	  0.14	  0.24	  0.0058	UCSF	 -4.33	  0.49
 37.652652	-122.140628	 23.93	-19.38	  0.30	  0.39	 -0.0062	WIN2	  1.36	  0.73
 37.652644	-122.140567	 23.90	-19.22	  0.13	  0.18	  0.0285	WINT	  1.01	  0.20
