PBO Network Velocity Field
Station,Ref_Epoch,Ref_JDay,Latitude (deg N),Longitude (deg E),Elevation (m),North Velocity (mm/yr),East Velocity (mm/yr),Vertical Velocity (mm/yr),North Std. Deviation (mm/yr),East Std. Deviation (mm/yr),Vertical Std. Deviation (mm/yr),North/East Correlation,North/Vertical Correlation,East/Vertical Correlation,First_Epoch,Last_Epoch,
AC08,20091016120000,55120.5000,58.928776,206.355300,644.1571,-3.5,-1.6,3.2,1.2,1.2,2.1,-0.005,0.003,0.011,20080617000000,20080920000000
AC09,20091016120000,55120.5000,59.868479,215.476153,368.8743,33.5,-17.3,2.2,0.6,0.6,1.3,-0.000,0.007,0.014,20070826000000,20091101000000
AC10,20091016120000,55120.5000,54.522582,195.113272,170.4549,-0.0,-8.0,1.9,2.4,3.1,3.2,-0.000,0.001,0.004,20080804000000,20091101000000
AC10,20091016120000,55120.5000,54.522582,195.113272,170.4654,-0.0,-8.0,1.9,2.4,3.1,3.2,-0.000,0.001,0.004,20090824000000,20090913000000
AC11,20091016120000,55120.5000,61.807079,211.668252,790.8565,10.7,-14.1,7.0,0.3,0.3,1.1,0.002,0.016,0.029,20050720000000,20091101000000
AC12,20091016120000,55120.5000,54.830964,200.410438,84.3986,9.5,-10.7,-5.3,38.9,52.6,9.1,-0.000,0.000,0.000,20080505000000,20091101000000
AC13,20091016120000,55120.5000,55.821897,204.377600,222.8009,32.4,-19.1,-8.6,12.2,11.6,4.4,-0.000,0.000,0.001,20080916000000,20091101000000
AC14,20091016120000,55120.5000,60.848702,212.000420,748.7087,36.9,-18.0,-0.7,0.5,1.6,1.9,0.000,0.008,0.005,20070809000000,20091101000000
AC15,20091016120000,55120.5000,60.481333,210.275994,151.4354,16.4,-10.8,7.9,0.3,0.5,1.0,0.000,0.018,0.025,20051013000000,20091101000000
AC16,20091016120000,55120.5000,60.518205,211.906766,34.0560,43.5,-19.0,-0.5,1.9,3.4,3.5,-0.000,0.007,0.001,20070719000000,20091101000000
AC17,20091016120000,55120.5000,60.663903,207.596154,882.5821,-13.2,1.7,8.1,0.5,0.5,0.8,0.002,0.015,0.037,20060902000000,20091101000000
AC18,20091016120000,55120.5000,58.925959,207.750469,214.6942,-4.9,0.7,10.8,1.1,1.2,2.1,-0.000,0.005,0.008,20080513000000,20091101000000
AC19,20091016120000,55120.5000,62.519214,206.392668,546.4981,-5.0,-0.2,5.8,0.9,1.2,2.0,0.001,0.015,0.010,20080622000000,20091101000000
