"GEO.id","GEO.id2","GEO.display-label","Total:","Total:","Total:"
"Id","Id2","Geography",,"Occupied","Vacant"
60750103003001,60750103003001,"Block 3001, Block Group 3, Census Tract 103, San Francisco County, California",77,66,11
60750103003002,60750103003002,"Block 3002, Block Group 3, Census Tract 103, San Francisco County, California",116,100,16
60750103003003,60750103003003,"Block 3003, Block Group 3, Census Tract 103, San Francisco County, California",20,19,1
60750103003004,60750103003004,"Block 3004, Block Group 3, Census Tract 103, San Francisco County, California",36,25,11
60750103003005,60750103003005,"Block 3005, Block Group 3, Census Tract 103, San Francisco County, California",139,106,33
60750103003006,60750103003006,"Block 3006, Block Group 3, Census Tract 103, San Francisco County, California",79,74,5
60750103003007,60750103003007,"Block 3007, Block Group 3, Census Tract 103, San Francisco County, California",159,131,28
60750104001000,60750104001000,"Block 1000, Block Group 1, Census Tract 104, San Francisco County, California",130,121,9
60750104001001,60750104001001,"Block 1001, Block Group 1, Census Tract 104, San Francisco County, California",82,76,6
60750104001002,60750104001002,"Block 1002, Block Group 1, Census Tract 104, San Francisco County, California",0,0,0
60750104001003,60750104001003,"Block 1003, Block Group 1, Census Tract 104, San Francisco County, California",0,0,0
60750104001004,60750104001004,"Block 1004, Block Group 1, Census Tract 104, San Francisco County, California",19,18,1
60750104001005,60750104001005,"Block 1005, Block Group 1, Census Tract 104, San Francisco County, California",43,40,3
60750104002000,60750104002000,"Block 2000, Block Group 2, Census Tract 104, San Francisco County, California",161,146,15
60750104002001,60750104002001,"Block 2001, Block Group 2, Census Tract 104, San Francisco County, California",157,144,13
60750104002002,60750104002002,"Block 2002, Block Group 2, Census Tract 104, San Francisco County, California",147,137,10
60750104002003,60750104002003,"Block 2003, Block Group 2, Census Tract 104, San Francisco County, California",160,145,15
60750104002004,60750104002004,"Block 2004, Block Group 2, Census Tract 104, San Francisco County, California",97,84,13
60750104002005,60750104002005,"Block 2005, Block Group 2, Census Tract 104, San Francisco County, California",126,102,24
60750104002006,60750104002006,"Block 2006, Block Group 2, Census Tract 104, San Francisco County, California",58,56,2
60750104002007,60750104002007,"Block 2007, Block Group 2, Census Tract 104, San Francisco County, California",15,15,0
60750104003000,60750104003000,"Block 3000, Block Group 3, Census Tract 104, San Francisco County, California",279,217,62
60750104003001,60750104003001,"Block 3001, Block Group 3, Census Tract 104, San Francisco County, California",54,41,13
60750104003002,60750104003002,"Block 3002, Block Group 3, Census Tract 104, San Francisco County, California",96,81,15
60750104003003,60750104003003,"Block 3003, Block Group 3, Census Tract 104, San Francisco County, California",5,2,3
60750104003004,60750104003004,"Block 3004, Block Group 3, Census Tract 104, San Francisco County, California",0,0,0
60750104003005,60750104003005,"Block 3005, Block Group 3, Census Tract 104, San Francisco County, California",54,44,10
60750104003006,60750104003006,"Block 3006, Block Group 3, Census Tract 104, San Francisco County, California",95,71,24
60750104003007,60750104003007,"Block 3007, Block Group 3, Census Tract 104, San Francisco County, California",57,50,7
60750104003008,60750104003008,"Block 3008, Block Group 3, Census Tract 104, San Francisco County, California",0,0,0
60750104003009,60750104003009,"Block 3009, Block Group 3, Census Tract 104, San Francisco County, California",15,13,2
60750104003010,60750104003010,"Block 3010, Block Group 3, Census Tract 104, San Francisco County, California",61,49,12
60750104003011,60750104003011,"Block 3011, Block Group 3, Census Tract 104, San Francisco County, California",56,49,7
60750104003012,60750104003012,"Block 3012, Block Group 3, Census Tract 104, San Francisco County, California",117,96,21
60750104003013,60750104003013,"Block 3013, Block Group 3, Census Tract 104, San Francisco County, California",195,169,26
