,,,,,,,HD01,SUBHD02010101,SUBHD02010102,SUBHD02010103,SUBHD020102,SUBHD020201,SUBHD020202,SUBHD020203
,,,,,,,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population
,,,,,,,,In households,In households,In households,In households,In group quarters,In group quarters,In group quarters
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,,Family households,Family households,Family households,Nonfamily households [3],Total,Institutionalized population,Noninstitutionalized population
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Total,In families [1],Nonrelatives [2],,,,
0400000US06,06,California,8710000US0690071,0690071,"California - ZCTA5 90071, California","ZCTA5 90071, California",15,0.0,0.0,0.0,0.0,100.0,0.0,100.0
0400000US06,06,California,8710000US0690073,0690073,"California - ZCTA5 90073, California","ZCTA5 90073, California",539,0.4,0.4,0.0,0.6,99.1,27.3,71.8
0400000US06,06,California,8710000US0690077,0690077,"California - ZCTA5 90077, California","ZCTA5 90077, California",9377,84.8,82.6,2.2,14.2,1.0,0.0,1.0
0400000US06,06,California,8710000US0690079,0690079,"California - ZCTA5 90079, California","ZCTA5 90079, California",0,,,,,,,
0400000US06,06,California,8710000US0690089,0690089,"California - ZCTA5 90089, California","ZCTA5 90089, California",3217,0.1,0.1,0.0,1.8,98.1,0.0,98.1
0400000US06,06,California,8710000US0690090,0690090,"California - ZCTA5 90090, California","ZCTA5 90090, California",0,,,,,,,
0400000US06,06,California,8710000US0690094,0690094,"California - ZCTA5 90094, California","ZCTA5 90094, California",5464,58.7,57.8,0.9,41.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0690095,0690095,"California - ZCTA5 90095, California","ZCTA5 90095, California",3,66.7,66.7,0.0,33.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0690201,0690201,"California - ZCTA5 90201, California","ZCTA5 90201, California",101279,94.6,89.5,5.1,4.4,1.0,0.4,0.6
0400000US06,06,California,8710000US0690210,0690210,"California - ZCTA5 90210, California","ZCTA5 90210, California",21741,81.7,79.1,2.7,17.7,0.6,0.0,0.6
0400000US06,06,California,8710000US0690211,0690211,"California - ZCTA5 90211, California","ZCTA5 90211, California",8434,76.6,75.3,1.3,23.4,0.0,0.0,0.0
0400000US06,06,California,8710000US0690212,0690212,"California - ZCTA5 90212, California","ZCTA5 90212, California",11555,73.1,72.0,1.1,26.9,0.0,0.0,0.0
0400000US06,06,California,8710000US0690220,0690220,"California - ZCTA5 90220, California","ZCTA5 90220, California",49328,92.9,88.1,4.8,6.5,0.5,0.0,0.5
0400000US06,06,California,8710000US0690221,0690221,"California - ZCTA5 90221, California","ZCTA5 90221, California",53704,94.7,87.9,6.8,4.2,1.1,0.0,1.0
0400000US06,06,California,8710000US0690222,0690222,"California - ZCTA5 90222, California","ZCTA5 90222, California",31869,93.7,87.5,6.3,5.6,0.6,0.3,0.4
0400000US06,06,California,8710000US0690230,0690230,"California - ZCTA5 90230, California","ZCTA5 90230, California",31766,78.3,76.3,2.0,21.2,0.5,0.3,0.1
0400000US06,06,California,8710000US0690232,0690232,"California - ZCTA5 90232, California","ZCTA5 90232, California",15149,72.0,69.7,2.3,27.6,0.4,0.0,0.4
0400000US06,06,California,8710000US0690240,0690240,"California - ZCTA5 90240, California","ZCTA5 90240, California",25876,91.9,88.6,3.3,7.2,0.9,0.9,0.0
